Gene,X,Y,Z,CellID
ARG1,1126.58061,771.96483,8,1
ARG1,1916.24481,1853.19735,9,3
ARG1,730.28229,1468.83825,5,2
ARG1,1271.4222,1669.81512,5,0
ARG1,2430.99276,2122.14399,7,0
ARG1,1032.95199,1537.01748,8,0
ARG1,265.90947,955.1376,7,0
ARG1,98.86512,496.00128,7,0
ARG1,1002.99921,1043.00607,7,1
ARG1,2673.7569,1757.05521,5,0
ARG1,186.31467,54.66906,9,0
ARG1,662.52198,1007.60733,5,0
ARG1,1194.65511,1754.33223,8,0
ARG1,1514.91945,2213.78274,9,0
ARG1,871.03941,632.04555,9,0
ARG1,381.74085,1426.00368,8,0
ARG1,1789.41678,468.87621,7,0
ARG1,2424.91842,2123.08656,7,0
ARG1,1263.0438,1236.75657,6,1
ARG1,2611.86147,1741.13625,5,0
ARG1,1381.17924,386.87262,8,0
ARG1,2119.10682,1947.45435,6,3
ARG1,1282.9425,374.20029,9,0
ARG1,1232.14845,1160.82732,9,1
ARG1,600.94074,1912.68399,6,2
ARG1,1397.83131,1349.13186,5,1
ARG1,1827.95742,1531.88571,7,3
ARG1,473.69379,2153.14407,5,2
ARG1,1150.9827,877.21848,9,1
ARG1,2034.58971,711.22143,9,0
ARG1,1470.61866,1428.62193,7,0
ARG1,2259.65448,1314.78042,5,3
ARG1,2799.53763,1992.59298,6,0
ARG1,2350.03647,1391.23332,9,3
ARG1,1232.98629,1159.88475,9,1
ARG1,306.8589,1013.47221,7,0
ARG1,715.93428,2037.41742,6,2
ARG1,2611.33782,1209.73623,5,0
ARG1,1658.60901,302.46024,6,0
ARG1,406.14294,174.37545,7,0
ARG1,1332.47979,1170.46248,7,1
ARG1,1851.83586,1252.98972,9,3
ARG1,414.7308,273.24057,9,0
ARG1,1228.58763,824.64402,8,1
ARG1,519.56553,1858.01493,7,2
ARG1,1798.00464,2239.65105,6,0
ARG1,546.58587,215.42961,9,0
ARG1,2051.45124,1543.40601,8,3
ARG1,2431.09749,2119.63047,8,0
ARG1,101.16918,873.97185,8,0
ARG1,1032.32361,273.3453,6,0
ARG1,324.24408,1660.91307,8,2
ARG1,1822.302,2165.39748,9,0
ARG1,1393.11846,1449.56793,5,0
ARG1,340.26777,531.40002,7,0
ARG1,2207.60367,2052.49854,5,0
ARG1,2124.34332,2061.0864,7,0
ARG1,180.65925,1321.06422,5,0
ARG1,589.00152,939.00918,8,0
ARG1,2208.23205,2049.98502,6,0
ARG1,610.68063,599.47452,6,0
ARG1,1851.94059,763.69116,6,0
ARG1,2549.96604,1909.12317,5,0
ARG1,1194.9693,1756.11264,8,0
ARG1,1194.86457,1755.48426,8,0
ARG1,2260.49232,2098.47501,8,0
ARG1,104.83473,960.16464,6,0
ARG1,1987.25175,1303.67904,8,3
ARG1,2120.25885,1948.60638,7,3
ARG1,1735.3761,1824.18714,7,3
ARG1,416.51121,867.47859,8,0
ARG1,846.00894,516.00471,9,0
ARG1,751.22829,1368.61164,7,0
ARG1,1829.6331,1532.82828,8,3
ARG1,1832.98446,1348.50348,9,3
ARG1,920.5767,1295.5101,5,1
ARG1,2344.27632,1910.2752,8,3
ARG1,970.21872,1119.87789,7,1
ARG1,2111.46153,1939.80906,6,3
ARG1,522.07905,1146.58404,8,0
ARG1,1393.85157,1450.30104,5,0
ARG1,2265.20517,2321.13099,5,0
ARG1,588.26841,939.21864,9,0
ARG1,2813.88564,2129.78928,7,0
ARG1,1203.03351,1280.11479,5,1
ARG1,1699.45371,1402.85835,5,3
ARG1,1850.89329,1252.67553,7,3
ARG1,1906.40019,420.38622,8,0
ARG1,2206.34691,2049.98502,6,0
ARG1,1194.34092,1753.80858,8,0
ARG1,2257.66461,2102.03583,7,0
ARG1,1216.54368,1615.77444,6,0
ARG1,1199.78688,1267.44246,7,1
ARG1,2421.46233,1837.80204,9,0
ARG1,182.02074,1319.70273,5,0
ARG1,69.01707,343.30494,8,0
ARG1,1198.53012,1267.33773,6,1
ARG1,427.19367,1400.76375,7,0
ARG1,414.7308,21.46965,7,0
ARG1,1644.99411,1265.97624,8,0
ARG1,1079.45211,80.22318,7,0
ARG1,2673.86163,1757.26467,6,0
ARG1,1818.53172,1801.87965,5,3
ARG1,1439.40912,712.37346,7,1
ARG1,2610.08106,1208.68893,5,0
ARG1,1645.41303,1168.89153,7,0
ARG1,872.50563,1757.05521,6,2
ARG1,2430.36438,2121.72507,8,0
ARG1,1701.44358,1404.01038,7,3
ARG1,883.71174,1285.0371,8,1
ARG1,2673.7569,1757.57886,7,0
ARG1,1699.97736,1403.27727,6,3
ARG1,2612.80404,1741.34571,6,0
ARG1,1847.12301,1439.40912,7,3
ARG1,1279.48641,878.99889,9,1
ARG1,877.95159,25.34466,8,0
ARG1,1368.92583,617.48808,8,0
ARG1,1699.34898,1403.59146,7,3
ARG1,1294.88172,1925.9847,6,0
ARG1,209.66946,1539.11208,8,2
ARG1,1356.14877,878.37051,8,1
ARG1,2596.88508,1337.29737,5,0
ARG1,263.50068,469.29513,8,0
ARG1,751.64721,1369.03056,7,0
ARG1,340.26777,531.71421,7,0
ARG1,1699.87263,1403.382,8,3
ARG1,242.34522,1586.6595,8,2
ARG1,769.45131,1319.80746,6,1
ARG1,1195.17876,1757.15994,8,0
ARG1,171.44301,129.13209,8,0
ARG1,179.82141,1146.58404,6,0
ARG1,1766.89983,503.01819,8,0
ARG1,19.58451,1273.93572,9,0
ARG1,1230.68223,1160.93205,9,1
ARG1,1181.66859,1353.73998,5,1
ARG1,2257.24569,2103.29259,6,0
ARG1,483.95733,1127.31372,6,0
ARG1,1485.38559,1452.70983,9,0
ARG1,1356.04404,878.57997,8,1
ARG1,2408.05689,1374.47652,7,3
ARG1,1728.35919,1565.60877,9,3
ARG1,474.53163,2151.99204,5,2
ARG1,1535.44653,204.53769,7,0
ARG1,1847.4372,1438.67601,7,3
ARG1,1794.65328,1804.07898,6,3
ARG1,686.71461,601.56912,7,0
ARG1,447.61602,1134.2259,6,0
ARG1,1140.61443,1873.30551,6,0
ARG1,1232.77683,1101.23595,6,1
ARG1,1199.99634,1267.02354,6,1
ARG1,2485.03344,1709.71725,8,0
ARG1,281.61897,404.36253,7,0
ARG1,2259.44502,2100.77907,7,0
ARG1,936.2862,1359.50013,8,1
ARG1,600.1029,1714.22064,5,2
ARG1,1448.20644,155.83824,7,0
ARG1,95.09484,829.04268,7,0
ARG1,1657.14279,304.86903,6,0
ARG1,265.59528,937.01931,9,0
ARG1,1365.05082,980.58699,8,1
ARG1,1658.29482,305.18322,7,0
ARG1,1072.64466,83.88873,8,0
ARG1,515.37633,1179.05034,8,0
ARG1,831.97512,720.96132,8,1
ARG1,137.82468,1708.04157,5,0
ARG1,997.44852,256.79796,7,0
ARG1,97.60836,471.38973,6,0
ARG1,1700.29155,1403.69619,7,3
ARG1,341.4198,1621.11567,7,2
ARG1,836.16432,720.33294,7,1
ARG1,2258.18826,2102.45475,6,0
ARG1,1195.17876,1754.54169,9,0
ARG1,2611.86147,1741.13625,7,0
ARG1,754.26546,1372.38192,6,0
ARG1,693.3126,594.76167,9,0
ARG1,105.04419,959.95518,7,0
ARG1,1200.31053,1268.2803,7,1
ARG1,1515.23364,2213.9922,7,0
ARG1,1659.13266,305.60214,6,0
ARG1,2259.96867,2101.40745,7,0
ARG1,2124.65751,2061.0864,5,0
ARG1,2012.49168,1826.80539,9,3
ARG1,1406.31444,1311.2196,6,1
ARG1,1732.75785,1823.45403,6,3
ARG1,2608.61484,2140.47174,7,0
ARG1,266.32839,955.03287,7,0
ARG1,516.52836,1178.00304,8,0
ARG1,2607.46281,2141.30958,8,0
ARG1,1500.88563,1526.9634,8,0
ARG1,2424.08058,2122.77237,7,0
ARG1,1436.58141,1807.11615,8,0
ARG1,1851.94059,763.37697,5,0
ARG1,969.06669,1119.87789,5,1
ARG1,1669.18674,396.29832,6,0
ARG1,279.00072,2064.85668,7,2
ARG1,1126.37115,772.48848,6,1
ARG1,78.12858,1119.04005,5,0
ARG1,415.14972,272.71692,7,0
ARG1,1405.68606,1310.27703,5,1
ARG1,716.87685,87.24009,8,0
ARG1,98.23674,473.27487,5,0
ARG1,98.13201,472.96068,6,0
ARG1,2260.38759,2100.46488,8,0
ARG1,136.98684,1708.56522,5,0
ARG1,692.47476,1583.20341,5,2
ARG1,1733.38623,1824.18714,7,3
ARG1,1195.07403,1754.85588,7,0
ARG1,1294.25334,1925.67051,5,0
ARG1,1200.41526,1265.55732,6,1
ARG1,294.39603,2128.1136,7,2
ARG1,94.88538,658.43751,9,0
ARG1,1202.82405,1279.90533,6,1
ARG1,718.76199,172.17612,5,0
ARG1,1734.53826,1822.82565,6,3
ARG1,834.27918,722.11335,8,1
ARG1,1605.5109,1387.77723,8,0
ARG1,1195.07403,1755.90318,6,0
ARG1,920.68143,1094.74269,9,1
ARG1,1039.44525,1042.48242,6,1
ARG1,1295.71956,1928.18403,6,0
ARG1,2122.56291,934.1916,6,0
ARG1,568.47444,579.99474,7,0
ARG1,2670.40554,2221.74222,5,0
ARG1,264.33852,936.60039,7,0
ARG1,65.66571,1041.0162,6,0
ARG1,882.55971,1285.14183,6,1
ARG1,751.64721,1370.28732,8,0
ARG1,96.03741,1606.97712,5,0
ARG1,2624.84799,2112.71829,5,0
ARG1,1152.55365,1641.1191,7,0
ARG1,328.22382,621.15363,8,0
ARG1,252.92295,1182.29697,8,0
ARG1,1109.61435,1744.38288,6,0
ARG1,2624.5338,2112.61356,6,0
ARG1,2144.34675,1116.52653,6,3
ARG1,1008.96882,572.24472,9,0
ARG1,568.05552,579.99474,9,0
ARG1,2278.82007,1034.62767,5,0
ARG1,483.22422,1126.26642,6,0
ARG1,252.81822,1800.83235,7,2
ARG1,663.9882,927.9078,8,1
ARG1,1608.86226,1763.33901,8,0
ARG1,1184.07738,1660.91307,5,0
ARG1,1127.41845,1030.64793,9,1
ARG1,837.63054,1044.1581,9,1
ARG1,1084.89807,1953.42396,7,0
ARG1,1716.94362,354.92997,5,0
ARG1,942.77946,235.43304,6,0
ARG1,1757.68359,1184.4963,6,3
ARG1,848.313,1462.55445,6,2
ARG1,1963.26858,1004.3607,5,0
ARG1,258.26418,1461.40242,7,2
ARG1,2234.72874,1245.2397,8,3
ARG1,1616.61228,1830.6804,7,0
ARG1,212.70663,574.02513,7,0
ARG1,824.32983,230.09181,5,0
ARG1,2053.02219,882.55971,5,0
ARG1,2394.65145,1362.32784,5,3
ARG1,1816.43712,1801.87965,5,3
ARG1,1305.14526,694.98828,6,1
ARG1,405.40983,1276.76343,6,0
ARG1,1924.62321,1954.78545,6,3
ARG1,1930.80228,1880.42715,7,3
ARG1,644.92734,1124.27655,8,0
ARG1,802.44126,1574.82501,8,2
ARG1,398.39292,174.37545,8,0
ARG1,1154.75298,1099.03662,9,1
ARG1,404.15307,1276.97289,7,0
ARG1,1327.24329,1220.31396,5,1
ARG1,1957.71789,1373.0103,9,3
ARG1,2292.01605,1602.369,9,3
ARG1,2626.31421,2031.23835,6,0
ARG1,3500,3500,,
